Stocks,CAGR,Nifty50 Weightage,Nifty50 CAGR,Portfolio Weightage,Portfolio CAGR
Asian Paints Ltd,0.318,1.84%,0.0058512,0.83%,0.0026394
Abbott India Ltd,-0.07,0.00%,0,0.76%,-0.000532
Adani Ports & Special Economic Zone,1.028,0.63%,0.0064764,0.00%,0
Avenue Supermarts Ltd,0.383,0.00%,0,1.26%,0.0048258
Axis Bank Ltd,0.121,2.79%,0.0033759,3.36%,0.0040656
Bajaj Auto Ltd,0.465,0.89%,0.0041385,1.76%,0.008184
Bajaj Finance Ltd,0.241,2.13%,0.0051333,3.72%,0.0089652
Bajaj Finserv Ltd,0.145,0.90%,0.001305,0.00%,0
Bharat Petroleum Corporation Ltd,0.086,0.52%,0.0004472,0.00%,0
Bharti Airtel Ltd,0.112,2.26%,0.0025312,3.06%,0.0034272
Britannia Industries Ltd,0.125,0.70%,0.000875,1.21%,0.0015125
Cipla Ltd,0.9,0.71%,0.00639,1.33%,0.01197
Coal India Ltd,-0.124,0.45%,-0.000558,0.00%,0
Crompton Greaves Consumer Electricals Ltd,0.38,0.00%,0,1.76%,0.006688
Cummins India Ltd,0.59,0.00%,0,0.44%,0.002596
Divi's Laboratories Ltd,0.575,0.73%,0.0041975,1.28%,0.00736
Dr. Lal Path Labs Ltd,0.375,0.00%,0,0.38%,0.001425
Dr. Reddy's Laboratories Ltd,0.472,0.95%,0.004484,1.36%,0.0064192
Eicher Motors Ltd,0.426,0.65%,0.002769,0.91%,0.0038766
GAIL (India) Ltd,0.461,0.39%,0.0017979,0.00%,0
Grasim Industries Ltd,0.814,0.70%,0.005698,0.00%,0
Gujarat Gas Ltd,0.715,0.00%,0,1.02%,0.007293
HCL Technologies Ltd,0.645,1.68%,0.010836,3.38%,0.021801
HDFC Bank Ltd,0.359,10.27%,0.0368693,8.45%,0.0303355
HDFC Life Insurance Co Ltd,0.301,0.91%,0.0027391,0.90%,0.002709
Hero MotoCorp Ltd,0.671,0.72%,0.0048312,0.00%,0
Hindalco Industries Ltd,1.201,0.56%,0.0067256,0.08%,0.0009608
Hindustan Unilever Ltd,-0.001,3.43%,-0.0000343,2.40%,-0.000024
Housing Development Finance Corporation Ltd,0.225,7.26%,0.016335,4.16%,0.00936
ICICI Bank Ltd,0.22,6.29%,0.013838,7.12%,0.015664
ICICI Lombard General Insurance Co Ltd,0.224,0.00%,0,0.65%,0.001456
Indian Oil Corporation Ltd,-0.053,0.40%,-0.000212,0.00%,0
Indraprastha Gas Ltd,0.141,0.00%,0,0.92%,0.0012972
Indusind Bank Ltd,0.001,0.82%,0.0000082,0.00%,0
Infosys Ltd,0.706,7.80%,0.055068,7.81%,0.0551386
ITC Ltd,0.079,3.02%,0.0023858,1.15%,0.0009085
JSW Steel Ltd,0.711,0.60%,0.004266,0.00%,0
Jubilant Foodworks Ltd,0.801,0.00%,0,0.21%,0.0016821
Kansai Nerolac Paints Ltd,0.146,0.00%,0,0.87%,0.0012702
Kotak Mahindra Bank Ltd,0.165,4.26%,0.007029,1.98%,0.003267
Larsen and Toubro Ltd,0.275,2.74%,0.007535,3.37%,0.0092675
Mahindra & Mahindra Ltd,0.842,1.22%,0.0102724,1.33%,0.0111986
Maruti Suzuki India Ltd,0.085,1.63%,0.0013855,2.05%,0.0017425
Max Financial Services Ltd,0.503,0.00%,0,1.07%,0.0053821
Mphasis Ltd,0.891,0.00%,0,0.51%,0.0045441
Nestle India Ltd,-0.015,1.03%,-0.0001545,0.50%,-0.000075
NTPC Ltd,-0.008,0.73%,-0.0000584,0.00%,0
Oil & Natural Gas Corporation Ltd,0.275,0.55%,0.0015125,0.00%,0
PI Industries Ltd,0.431,0.00%,0,1.12%,0.0048272
Power Grid Corporation of India Ltd,0.187,0.80%,0.001496,0.00%,0
Reliance Industries Ltd,0.612,10.11%,0.0618732,5.53%,0.0338436
SBI Life Insurance Company Ltd,-0.03,0.57%,-0.000171,0.00%,0
Shree Cement Ltd,0.163,0.52%,0.0008476,0.89%,0.0014507
State Bank of India,0.405,1.84%,0.007452,2.76%,0.011178
Sun Pharmaceutical Industries Ltd,0.548,1.07%,0.0058636,1.19%,0.0065212
Tata Consultancy Services Ltd,0.471,5.55%,0.0261405,3.93%,0.0185103
Tata Consumer Products Ltd,0.769,0.00%,0,1.18%,0.0090742
Tata Motors Ltd,1.555,0.80%,0.01244,0.00%,0
Tata Steel Ltd,0.916,0.77%,0.0070532,0.00%,0
Tech Mahindra Ltd,0.273,1.01%,0.0027573,0.00%,0
Titan Company Ltd,0.15,1.01%,0.001515,1.03%,0.001545
UltraTech Cement Ltd,0.484,1.04%,0.0050336,2.02%,0.0097768
UPL Ltd,0.137,0.52%,0.0007124,0.00%,0
Voltas Ltd,0.518,0.00%,0,1.55%,0.008029
Whirlpool Of India Ltd,0.088,0.00%,0,0.96%,0.0008448
Wipro Ltd,0.883,1.05%,0.0092715,0.00%,0
